compound_name,SMILES,DTXSID,pmids,n_articles
"Flucloxacillin, Floxacillin",CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,DTXSID8023056,"['33963595', '33860325', '33169987', '32726429', '32080844', '31521742', '31026083', '30472288', '30447161', '30015652', '30001392', '29908071', '29378637', '29091190', '28782093', '28737131', '28717040', '28444390', '28253087', '26931079', '26754176', '26614821', '25677856', '24888401', '24857265', '24731753', '24652713', '24011318', '23635947', '22998122', '21386809', '20222094', '19580292', '18793693', '18063418', '17604357', '17529883', '16778719', '16288963', '16165719', '12521433', '11900944', '11409940', '11149309', '9680896', '9122666', '8816722', '8294166', '8215669', '8411906', '8225630', '1918376', '2149055', '2143716', '2686610', '3588519', '3744828', '3716820', '4059155', '3915919', '6417960', '7450932', '321992', '1234594']",64
Troglitazone,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,DTXSID8023719,"['35171571', '35156664', '35143163', '34843917', '34821176', '34750194', '34543702', '34098110', '33737635', '33469990', '33440728', '33382907', '33359578', '33307106', '32696819', '32535746', '32374857', '32294204', '32028848', '31894131', '31783317', '31671132', '31669601', '31345115', '31294483', '31271030', '30850835', '29932104', '29913214', '29743445', '29609830', '29445054', '29087505', '28928138', '28903485', '28645575', '28486596', '28369597', '27665770', '27397500', '27217490', '27112167', '27046439', '27044092', '27026708', '27000539', '26881718', '26784896', '26706816', '26630578', '26335978', '26202373', '26193171', '25997894', '25862064', '25851939', '25727309', '25572481', '25352324', '25336266', '25068506', '24953030', '24559133', '24534255', '24469900', '24359682', '24335466', '24329499', '24211272', '24085192', '24012842', '23659346', '23648632', '23602926', '23565644', '23522285', '23516635', '23395088', '23377618', '23278487', '23108036', '23041271', '22981620', '22902350', '22870868', '22739433', '22673116', '22568339', '22421793', '22409968', '22394356', '22364184', '22342602', '22108051', '22085495', '22023349', '21639118', '21635945', '21540358', '21533120']",100
1-Naphthyl isothiocyanate,C1=CC=C2C(=C1)C=CC=C2N=C=S,DTXSID8025703,"['27026708', '15337839', '12587213', '8902261', '6204745', '4677024']",6
Fraxinellone,CC1=C2C(=O)OC(C2(CCC1)C)C3=COC=C3,NA,"['34519225', '34463097', '33845055', '32484342', '30274140', '30083259', '26099633', '25448682', '17702408']",9
Chlorpromazine hydrochloride,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl,DTXSID7024827,"['35970279', '35708773', '35626634', '35597345', '35438391', '35358871', '34664726', '34529856', '34285765', '34230451', '33858192', '33801329', '33485972', '33346635', '33167415', '33107339', '32960520', '32866265', '32852120', '32780823', '32712372', '32567384', '32528650', '32479786', '32468014', '32450478', '32450360', '32334324', '32327675', '32245194', '32179810', '32143847', '32121122', '32108447', '32088265', '32025768', '32005270', '31875650', '31806060', '31561895', '31557839', '31514548', '31422163', '31381965', '31371483', '31324950', '31298824', '31292703', '31264722', '31262903', '31198949', '31154060', '31150782', '31148094', '31022455', '30880486', '30841456', '30670041', '32564578', '30587176', '30581006', '30529166', '30367514', '29913214', '29729269', '29618426', '29448305', '29352450', '29308860', '29256128', '29250824', '29247925', '29227273', '29186521', '29029322', '28976233', '28928138', '28904299', '28811247', '28787011', '28784133', '28778767', '28719185', '28717109', '28717101', '28189648', '28188341', '28115551', '28019033', '27937085', '27759057', '27733950', '27397540', '27344345', '27302585', '27189101', '27168224', '27124109', '27082594', '27033412']",100
Nefazodone hyperchloride,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl.Cl,DTXSID8046088,[],0
Chlorinated biphenyl,C1=C(C=C(C(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2)Cl)Cl)Cl,DTXSID5024267,"['36231366', '35994059', '35700651', '35551044', '35451014', '35395291', '35367487', '35217048', '35162396', '35104517', '34902383', '34864106', '34763231', '34563784', '34467953', '34280741', '34125531', '34003500', '33856783', '33823189', '33770624', '33744271', '33650385', '33590385', '33540161', '33484721', '33460637', '33440917', '33254606', '33216302', '33139099', '33137703', '32920409', '32683211', '32653021', '32609501', '32436601', '32044571', '32033061', '31893358', '31858832', '31726361', '31689012', '31648152', '31387080', '31310930', '31272008', '31200706', '31064277', '31059919', '31001807', '30887452', '30793891', '30776761', '30721827', '30703609', '30669331', '30660025', '30622076', '30530140', '30476764', '30420131', '30411274', '30244305', '29851746', '29727946', '29717277', '29605643', '29525625', '29459350', '29404880', '29107350', '29096317', '28779625', '28744683', '28689110', '28593372', '28573493', '28486433', '28273534', '28067071', '27656770', '27608428', '27466755', '27706898', '27700069', '27589886', '27565309', '27548254', '27508420', '27391075', '27343946', '27152359', '27090108', '27067547', '26854700', '26774304', '26749444', '26710981', '26683308']",100
Lead,[Pb],DTXSID2024161,"['36248189', '36243957', '36239860', '36235822', '36235714', '36235592', '36235258', '36235174', '36235128', '36233315', '36233226', '36232933', '36232728', '36232690', '36232670', '36232519', '36232403', '36231680', '36231427', '36231196', '36230992', '36230989', '36229648', '36228304', '36224271', '36220880', '36217639', '36215514', '36211438', '36210569', '36202835', '36200800', '36193928', '36192754', '36191488', '36189324', '36182156', '36180958', '36179296', '36179295', '36179290', '36179285', '36178708', '36178446', '36177019', '36176585', '36176514', '36175584', '36175568', '36174761', '36174482', '36172005', '36170190', '36168220', '36159246', '36156230', '36155229', '36153426', '36152676', '36152156', '36150435', '36149902', '36149869', '36149503', '36148349', '36144768', '36144587', '36142874', '36142606', '36142538', '36142498', '36141702', '36141646', '36141460', '36141431', '36140729', '36138113', '36137967', '36137491', '36133311', '36130617', '36128491', '36127053', '36125992', '36125988', '36124553', '36122284', '36120593', '36119036', '36116527', '36116364', '36116084', '36115751', '36115080', '36108998', '36108101', '36107858', '36104879', '36104135', '36102322']",100
Arsenic,[As],DTXSID4023886,"['36233132', '36232403', '36180503', '36178927', '36178224', '36174761', '36162444', '36152156', '36144555', '36141702', '36141460', '36141431', '36138113', '36126259', '36125992', '36122737', '36115080', '36104924', '36104879', '36099335', '36096164', '36095156', '36089002', '36088992', '36084880', '36083997', '36080424', '36078782', '36078532', '36068775', '36068064', '36067934', '36044947', '36044797', '36041531', '36036794', '36030963', '36028832', '36011873', '36011717', '36008117', '35998698', '35994080', '35973632', '35972701', '35970106', '35968550', '35964268', '35963424', '35956821', '35954277', '35952733', '35946055', '35934145', '35931251', '35926607', '35926152', '35921662', '35905945', '35901520', '35896878', '35886506', '35872050', '35870529', '35865665', '35863575', '35850069', '35849228', '35843272', '35842138', '35842137', '35836250', '35830931', '35811370', '35809665', '35805773', '35805563', '35804452', '35803278', '35792265', '35792168', '35791284', '35788945', '35786733', '35786453', '35779705', '35779140', '35777566', '35777461', '35768965', '35765185', '35764709', '35764259', '35760920', '35759640', '35750204', '35747940', '35742647', '35738098', '35714946']",100
Acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,DTXSID2022541,"['33795273', '32380016', '31464528', '30649301', '29935043', '29055218', '28867752', '28836865', '28766370', '28493216', '27151175', '26315062', '26066400', '25866574', '25616099', '25141897', '23663291', '23651023', '23585184', '23582453', '23376975', '22917719', '22903542', '22773430', '22335144', '21263388', '21149643', '20223102', '20122573', '20001998', '19381164', '19144578', '18775393', '18702389', '17646791', '17287635', '17070618', '16863464', '16803669', '16237546', '12604423', '10216979', '9766858', '9684733', '8001599', '8232702', '2272718', '2377369', '6625677', '7164013', '7421151', '14164270', '14162128', '14127232', '14100426']",55
"1,5-Naphthalenediol",C1=CC2=C(C=CC=C2O)C(=C1)O,DTXSID2052574,[],0
"2,7-Naphthalenediol",C1=CC(=CC2=C1C=CC(=C2)O)O,DTXSID2060387,['28940058'],1
"2,6-Dihydroxyethylaminotoluene",CC1=C(C=CC=C1NCCO)NCCO,DTXSID30164225,[],0
Paraquat,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,DTXSID3034799,"['36162518', '36142718', '36138568', '36127053', '36122288', '36108500', '36087732', '36068596', '36052599', '36052583', '36029574', '35942850', '35929242', '35881539', '35817254', '35803381', '35802512', '35780376', '35761476', '35758696', '35720190', '35686354', '35642410', '35595893', '35574750', '35562624', '35545591', '35502627', '35475715', '35442113', '35439855', '35430334', '35430322', '35427151', '35426004', '35392760', '35387687', '35384770', '35379621', '35370242', '35366498', '35316522', '35306641', '35182771', '35182163', '35128959', '35061062', '35005788', '34952117', '34915550', '34913070', '34902645', '34897981', '34881454', '34863722', '34838710', '34825536', '34793708', '34769043', '34762280', '34681664', '34673252', '34655599', '34627778', '34624324', '34607471', '34580234', '34557296', '34551515', '34543159', '34518572', '34507117', '34478614', '34463846', '34400206', '34394831', '34392143', '34384262', '34364922', '34357684', '34347978', '34294076', '34213100', '34152240', '34097952', '34080503', '34064677', '34052309', '34036384', '34021431', '33993396', '33911095', '33910280', '33901425', '33901424', '33900547', '33894630', '33853459', '33819548', '33810013']",100
"DDT, P,P'-",C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,DTXSID4020375,"['35946953', '35897178', '35798156', '35798100', '35726969', '35550812', '35472560', '35122929', '35089017', '34597662', '34341008', '34329638', '34273825', '34167450', '34068747', '34052433', '33948847', '33933496', '33866393', '33853850', '33819127', '33811510', '33794904', '33756427', '33728745', '33711537', '33677382', '33639072', '33476788', '33460637', '33388674', '33287856', '33104727', '33099138', '33007566', '32979988', '32911174', '32906049', '32894766', '32415255', '32393266', '32044571', '31746186', '31724279', '31711904', '31704585', '31654984', '31521043', '31496395', '31428841', '31421228', '31418625', '31387080', '31252166', '31200706', '31181528', '31177475', '31154168', '31127943', '31102720', '31082460', '31064277', '31001807', '30949744', '30901658', '30887452', '30822522', '30817981', '30794837', '30759253', '30721827', '30703609', '30468839', '30413296', '30389321', '30292654', '30288675', '30048946', '30022311', '29744538', '29727842', '29655064', '29597160', '29560787', '29525969', '29421401', '29318322', '29288298', '29287179', '29099469', '28975520', '28934091', '28927721', '28865000', '28841520', '28779625', '28763657', '28737099', '28724247', '28540444']",100
"N,N-dimethylacetamide",CC(=O)N(C)C,DTXSID5020499,"['35686439', '35349119', '34608893', '34370177', '33675302', '32447106', '32186196', '31693155', '31494107', '30625984', '30050067', '29851986', '28791810', '28749186', '28079261', '27925250', '27444121', '27379984', '27003174', '24174393', '24036908', '23876515', '23770347', '23359242', '23246565', '23013261', '22644709', '22479348', '22440890', '22368810', '22056262', '22011283', '21258588', '21031461', '20462811', '20429851', '19134068', '19012996', '18648813', '17643414', '17503240', '17366828', '16779692', '16728503', '16702815', '15711187', '15514191', '14630900', '12819941', '12744483', '12724930', '12694878', '12445868', '11592343', '11384245', '11255178', '11077403', '11071260', '10930060', '9667269', '9516917', '8566487', '8771152', '8528718', '8528717', '9815982', '8091430', '8071726', '7512539', '1855615', '2754756', '2738751', '3068034', '3757824', '3530639', '6525594', '6578368', '7066891', '7297883', '7273016', '552969', '874753', '4662074']",83
"2-methylbenzene-1,4-diamine;sulfuric acid",CC1=C(C=CC(=C1)N)N.OS(=O)(=O)O,DTXSID50872532,[],0
Nitromethane,CCOCCOC(=O)/C(=C\1/CCCC(=C1)NCCCOC)/C#N,DTXSID901019869,"['33980707', '33847381', '31060842', '30672285', '28814126', '26255649', '24844579', '21860501', '21288151', '20573163', '20352541', '18504991', '18207300', '17976551', '21089924', '11439403', '11170242', '9711197', '9140463', '2758650', '6510448', '83349', '5061194', '5615427', '13227634']",25
Methylmercury ion,C[Hg+],DTXSID9024198,"['36107858', '36088973', '35975571', '35735524', '35421468', '35396826', '34989572', '34830013', '33990914', '33587975', '33354517', '32991939', '32429059', '32382957', '31726360', '31270303', '30996207', '30469489', '29115126', '28273949', '28243932', '28071871', '28041893', '27981839', '27557957', '27473830', '27432234', '27422290', '27181724', '27070857', '26545714', '26111762', '26006043', '25874357', '25772431', '25690149', '25057806', '24853303', '24549367', '24490593', '24397474', '23917397', '23838314', '23583802', '22927718', '22886740', '22654480', '22522537', '22366895', '22259776', '22206970', '22134029', '21984481', '21951228', '21899406', '21601588', '21473375', '21382464', '21134393', '20877814', '20582853', '20401649', '20050842', '20020106', '19070443', '18707754', '18023858', '17916944', '17564908', '17489621', '17258428', '17222858', '16359171', '15288506', '15228499', '15181156', '14962507', '14582258', '14555794', '12846379', '12836843', '12117417', '11746429', '11642409', '11390179', '11110025', '10882888', '10875446', '10522497', '10329504', '10093932', '9581014', '9415893', '9356316', '9294027', '9046577', '9046576', '9046572', '8784819', '7974516']",100
Acyclovir,C1=NC2=C(N1COCCO)N=C(NC2=O)N,DTXSID1022556,"['36229873', '36095884', '35955832', '35929032', '35842662', '35840432', '35831090', '35761406', '35709898', '35658598', '35604549', '35575775', '35508593', '35499094', '35485337', '35433502', '35314347', '35288419', '35248614', '35159311', '35122895', '35107143', '35079057', '35067869', '35064735', '35055133', '35041813', '34984735', '34981553', '34923092', '34864943', '34770975', '34714374', '34662301', '34649759', '34610621', '34596243', '34576237', '34556034', '34534396', '34521234', '34468055', '34373740', '34353627', '34326377', '34247579', '34234136', '34160036', '34137387', '34075624', '34050910', '33965437', '33910036', '33866643', '33862205', '33801024', '33755191', '33664251', '33625075', '33566625', '33515202', '33480376', '33421169', '33375004', '33373493', '33220125', '33201745', '33161114', '33070144', '33069641', '32958548', '32919761', '32882920', '32847898', '32649847', '32423968', '32417677', '32409608', '32317339', '32315708', '32311469', '32265379', '32165083', '32105943', '32050880', '32037154', '32018000', '31981100', '31830223', '31829956', '31813002', '31772214', '31665341', '31654672', '31621449', '31521130', '31348301', '31345997', '31343571', '31282759']",100
Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,DTXSID2020006,"['36233086', '36193928', '36160708', '36150480', '36115150', '36070069', '36001996', '35988679', '35973089', '35934140', '35926495', '35905941', '35884248', '35882295', '35849812', '35849165', '35842731', '35833538', '35829920', '35815804', '35813467', '35809344', '35807275', '35806094', '35794673', '35790095', '35753269', '35751009', '35736523', '35725001', '35714712', '35713544', '35700755', '35697284', '35691715', '35679914', '35662663', '35661049', '35660190', '35658766', '35658642', '35645068', '35642939', '35626634', '35618243', '35595037', '35589145', '35588643', '35588406', '35549792', '35526796', '35522395', '35514074', '35513057', '35510880', '35508086', '35473828', '35472560', '35469867', '35461629', '35440504', '35414769', '35403383', '35392025', '35380478', '35379573', '35366176', '35359022', '35356839', '35316804', '35306469', '35305118', '35292334', '35278532', '35265717', '35246254', '35243748', '35240919', '35229890', '35221279', '35212556', '35198058', '35195057', '35179299', '35175416', '35175154', '35173100', '35172013', '35171571', '35151848', '35147701', '35147325', '35145060', '35134991', '35131407', '35112588', '35092733', '35066125', '35065993', '35056867']",100
Furosemide,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,DTXSID6020648,"['35938700', '35820963', '35508593', '35418292', '35120352', '35039166', '34731652', '34643856', '34635631', '34194490', '34187111', '34082124', '33984452', '33970887', '33667563', '33582712', '33577902', '33318242', '33225679', '33082417', '33035276', '33027535', '32892950', '32888976', '32885583', '32789919', '32746925', '32719543', '32624234', '32622469', '32580697', '32562572', '32522809', '32504272', '32401745', '32400211', '32389435', '32289355', '32279814', '31831529', '31685322', '31633875', '31562289', '31496133', '31243492', '31232892', '31142766', '30924166', '30791849', '30738210', '30537467', '30361989', '30324579', '30225802', '29927879', '29926012', '29923493', '29860548', '29738843', '29685473', '29665130', '29460972', '29383633', '29319776', '29241671', '29218724', '29162614', '28669353', '28660548', '28460209', '28276070', '28267687', '28139270', '29663745', '28001186', '27943125', '27312359', '27311812', '26997167', '26982240', '26916198', '26855365', '26821801', '26809959', '26610794', '26550796', '26542997', '26432499', '26152702', '26120029', '26089029', '25962391', '25823967', '25629145', '25542143', '25540931', '25423287', '25382011', '25356760', '25034211']",100
Carmustine,C(CCl)NC(=O)N(CCCl)N=O,DTXSID8022743,"['35545213', '35413224', '35149851', '35119629', '34795360', '34758711', '34638132', '34610094', '34592699', '34229821', '34176014', '34152404', '34092748', '33956047', '33513372', '33306964', '33205337', '33115782', '33085777', '32980545', '32893871', '32847481', '32725379', '32591641', '32215821', '32170769', '32109525', '32025840', '31812495', '31784666', '31567432', '31467263', '31441568', '31432377', '31290569', '31282794', '31101634', '30826465', '30798512', '30726746', '30630772', '30537472', '30390059', '30227232', '30198571', '30121852', '29857196', '29799642', '29663029', '29500148', '29476996', '29473209', '29468458', '29404979', '29213063', '29209924', '29181839', '29164977', '29131153', '29081442', '29061536', '29054815', '29035395', '28267593', '28243088', '28204914', '28143714', '28112752', '28101911', '28042707', '28040063', '28011985', '27984652', '27821713', '27474153', '27699999', '27575541', '27557526', '27476790', '27453265', '27365141', '27243412', '27214072', '27165090', '27146156', '26920356', '26897716', '26865253', '26847165', '26809026', '26750128', '26729297', '26663681', '26573275', '26569093', '26458240', '26433841', '26391155', '26166312', '26087475']",100
Methotrexate,CN(CC1=NC2=C(N=C1)N=C(N)N=C2N)C1=CC=C(C(=O)NC(CCC(=O)O)C(=O)O)C=C1,DTXSID4020822,"['36217648', '36153909', '36095884', '36088292', '36068476', '36054575', '35985163', '35979854', '35976016', '35973821', '35929573', '35922754', '35907463', '35902049', '35898689', '35887018', '35878871', '35871815', '35864414', '35849191', '35831345', '35809794', '35787364', '35732790', '35727714', '35708709', '35697166', '35674002', '35671649', '35658235', '35654820', '35648328', '35639227', '35633009', '35628334', '35614161', '35575146', '35525755', '35508896', '35508462', '35496049', '35491706', '35490916', '35489026', '35486323', '35484086', '35467473', '35459802', '35453032', '35443427', '35442489', '35434757', '35426539', '35385884', '35379110', '35369946', '35369115', '35365958', '35357394', '35354251', '35331833', '35306043', '35301407', '35291759', '35286798', '35279271', '35264506', '35263663', '35253996', '35236714', '35226619', '35218177', '35201508', '35200225', '35197512', '35179739', '35157101', '35143824', '35142753', '35142567', '35138194', '35120432', '35115328', '35114374', '35100805', '35093905', '35092376', '35075221', '35060893', '35041883', '35041118', '35037483', '35034880', '35027386', '35027038', '35024183', '35019195', '35018626', '35010995', '34986414']",100
Isoniazid,NNC(=O)C1=CC=NC=C1,DTXSID8020755,"['36232947', '36181120', '36076654', '35978342', '35751408', '35738191', '35729098', '35650700', '35490897', '35466379', '35430117', '35410160', '34916468', '34871098', '34770817', '34673379', '34635182', '34518943', '34410956', '34375564', '34275812', '34272717', '34257639', '34246234', '34244539', '34216033', '34198149', '34157153', '34057810', '34016158', '33838263', '33836038', '33771660', '33755521', '33729026', '33660266', '33542052', '33476758', '33388427', '33367978', '33355234', '33295787', '33213232', '33139294', '33094670', '33063804', '33032843', '33010635', '32993828', '32930412', '32910315', '32825881', '32773452', '32715778', '32708236', '32673658', '32673409', '32660103', '32633153', '32626768', '32615006', '32562253', '32466226', '32462039', '32452303', '32450221', '32446667', '32436768', '32398199', '32361184', '32268159', '32238694', '32237023', '32229244', '32229034', '32217619', '32113187', '32101116', '32060585', '32054536', '32053584', '32044516', '32017832', '32017035', '31981687', '31923558', '31905381', '31843592', '31820943', '31820941', '31781998', '31746430', '31739453', '31734174', '31732485', '31725693', '31702487', '31697922', '31627771', '31605489']",100
Cinchophen,O=C(O)C1=C2C=CC=CC2=NC(C2=CC=CC=C2)=C1,DTXSID0040705,"['1679861', '14183296', '14079714', '14493851', '13372322', '13372321', '13282405', '13301783', '13062720', '14896248', '14891431', '14895381', '14897023', '18862709']",14
Sitaxentan,CC1=NOC(NS(=O)(=O)C2=C(C(=O)CC3=C(C)C=C4OCOC4=C3)SC=C2)=C1Cl,DTXSID0057673,"['31593221', '29609830', '29078759', '28369585', '25660617', '25467130', '23721565', '22808263', '22683289', '22683288', '21416695', '21282816', '18243424']",13
Tacrine,NC1=C2C=CC=CC2=NC2=C1CCCC2,DTXSID1037272,"['36131624', '36054949', '36047110', '35806112', '35630702', '35623141', '35098414', '34801945', '34628225', '34461507', '34443482', '34098110', '33991182', '33892271', '33844597', '33829876', '33829779', '33571502', '33421953', '33383645', '33375115', '33338868', '32867324', '32787113', '32520597', '32466601', '32360492', '32307994', '32215751', '32171792', '31820476', '31760822', '31735356', '31669601', '31586704', '31478295', '31440798', '31430943', '31351393', '31309898', '31228470', '30999586', '30938202', '30873921', '30851693', '30819076', '30771604', '30736397', '30711701', '30482062', '30396115', '30384187', '30157868', '30107970', '30099049', '30027640', '29992880', '29883670', '29870588', '29651948', '29624715', '29534488', '29533874', '29332586', '29332585', '29281794', '29268129', '29231138', '29198175', '29149534', '29067789', '28803044', '28788095', '28646502', '28621747', '28601645', '28544359', '28504912', '28498717', '28485637', '28400237', '28189905', '28125507', '28064079', '29716679', '27990564', '27876467', '27865910', '27863370', '27799040', '27736061', '27697055', '27636528', '27230386', '27128182', '27023499', '26932526', '26690394', '26554390', '26507365']",100
